accel_gravity_abs_error_m_s2,accel_norm_mean_m_s2,accel_norm_p95_m_s2,accel_norm_std_m_s2,bright_clip_ratio,brightness_mean,citrus_depth_median_mm,citrus_depth_out_of_range_ratio,citrus_depth_p10_mm,citrus_depth_p90_mm,citrus_depth_valid_ratio,citrus_pixel_ratio,citrus_valid_depth_pixels,contrast_std,dark_clip_ratio,depth_nonzero_ratio,depth_out_of_range_nonzero_ratio,depth_valid_ratio,detection_bbox_area_max_ratio,detection_bbox_area_sum_ratio,detection_conf_max,detection_conf_mean,detection_conf_median,detection_conf_min,detection_count,detection_depth_valid_count,detection_depth_valid_ratio,group,gyro_norm_max_rad_s,gyro_norm_mean_rad_s,gyro_norm_p95_rad_s,gyro_norm_rms_rad_s,imu_accel_rate_hz,imu_accel_samples,imu_gyro_rate_hz,imu_gyro_samples,inference_ms,joint_stamp_delta_s,model_status,red_clip_ratio,rgb_depth_delta_s,saturation_mean,scene_id,semantic_citrus_conf_mean,semantic_citrus_entropy_mean_bits,semantic_citrus_instance_20px_depth_support_ratio,semantic_citrus_instance_count,semantic_citrus_instance_depth_ratio_median,semantic_citrus_instances_with_20_depth_pixels,semantic_instance_count,semantic_tree_instance_count,sharpness_laplacian_var,stamp_sec,target_color_delta_s,timestamp_history_fallback,tree_depth_median_mm,tree_depth_out_of_range_ratio,tree_depth_valid_ratio,tree_pixel_ratio,tree_valid_depth_pixels,view
0.055668909602315964,9.750981090397683,9.81193743602572,0.03832522215152897,0.05284830729166667,120.32317057291667,345.0,0.05953256517120209,337.0,431.0,0.003146195963062842,0.07966796875,77,54.547115357768625,0.0,0.03410481770833333,0.011735026041666667,0.022369791666666666,0.05685546875,0.12016927083333334,0.8850946426391602,0.7745829582214355,0.8328871726989746,0.5185306072235107,5,0,0.0,1,0.011534542121948049,0.004644247883457489,0.00809986075583494,0.005080960273064752,100.74469771575433,31,199.89057808702282,60,57.88496780395508,0.00501561164855957,model_ready:onnxruntime targets:5 depth:0 tf:0 semantic_masks:6,0.07759440104166666,0.0,96.149140625,0,0.815839105555656,0.6212246671014596,0.4,5,0.0033843550496115682,2,6,1,731.215571912882,1785900917.989092,0.06668853759765625,False,424.0,0.0037571727844065944,0.024717642772565808,0.5718229166666666,4342,1
0.05475041806604786,9.751899581933952,9.776662517712426,0.018205270682497488,0.03607421875,120.39668294270834,492.0,0.007957108208161355,344.0,1445.0,0.038040934428322196,0.07650065104166667,894,46.69499893828127,0.0,0.04369791666666667,0.007067057291666666,0.036630859375,0.044557291666666665,0.13795247395833332,0.897104024887085,0.7186211310327053,0.8129576146602631,0.37284767627716064,8,4,0.5,1,0.008386837248778582,0.004234153696193621,0.0074174423967108835,0.004570637323880184,101.07487288237704,30,200.5404733444896,61,60.87289047241211,0.00804901123046875,model_ready:onnxruntime targets:8 depth:4 tf:4 semantic_masks:9,0.06863606770833333,0.0,76.73404296875,0,0.7916644120613547,0.6431349510740026,0.625,8,0.030804817442828633,5,9,1,619.0303396564059,1785900923.7922504,0.06670975685119629,False,394.0,0.005441518624018787,0.03889517058427015,0.5988151041666666,7155,2
0.054595314865684585,9.752054685134315,9.78396150420727,0.021006282297061047,0.038479817708333336,127.24637044270834,484.0,0.022046751622234382,345.0,993.0,0.017590493315612542,0.04163736979166666,225,46.265854702691755,0.0,0.03868489583333334,0.008323567708333333,0.030361328125,0.023046875,0.07123697916666667,0.9292451739311218,0.7849774360656738,0.7987583875656128,0.6395200490951538,5,0,0.0,1,0.01405138285324351,0.004090159949900383,0.007698318103253233,0.004610169049671333,101.05539091675702,28,200.5212984653631,56,43.693763732910156,0.00384521484375,model_ready:onnxruntime targets:5 depth:0 tf:0 semantic_masks:6,0.060810546875,0.0,76.72351888020833,0,0.8088188082196437,0.6658170927207707,0.6,5,0.019083969465648856,3,6,1,648.757328348753,1785900927.7280467,0.13341426849365234,False,423.0,0.005698337015932085,0.037940458192813116,0.5598307291666667,6525,3
0.053434155505124536,9.753215844494875,9.767041411874954,0.01013371574234942,0.029065755208333332,123.82669596354167,425.0,0.0,336.0,675.8000000000001,0.03393737936950461,0.06071614583333333,633,45.41653812337517,0.0,0.03037109375,0.002242838541666667,0.028128255208333335,0.06640625,0.09718098958333334,0.9194179773330688,0.7488376349210739,0.859977662563324,0.35597723722457886,4,1,0.25,1,0.012399907878912667,0.003953612723186903,0.006629478464202557,0.00441592329878109,101.05295619910375,28,200.51171240080313,56,82.97469329833984,0.009808063507080078,model_ready:onnxruntime targets:4 depth:1 tf:1 semantic_masks:6,0.060966796875,0.0,85.70669596354166,0,0.9002735421441794,0.45177102023017435,0.25,4,0.0,1,6,2,608.9196410359274,1785900931.9343934,0.20012879371643066,False,381.0,0.0027168271791029957,0.031545883690913525,0.7212955729166667,6990,4
0.055010726878311544,9.751639273121688,9.777720140425274,0.01818247063747251,0.022643229166666667,120.5091796875,492.0,0.005537138902043642,347.0,1213.3000000000002,0.028778550872463664,0.08935872395833333,790,50.529762466293114,0.0,0.03416015625,0.0018619791666666667,0.03229817708333333,0.07346354166666667,0.15583007812500002,0.9169782400131226,0.7388546424252647,0.8183561563491821,0.41942116618156433,7,5,0.7142857142857143,1,0.008386836938292749,0.00396641819650763,0.00709045862454598,0.004284291482712408,101.03104901842707,30,200.4733773061849,60,47.50223922729492,0.0029180049896240234,model_ready:onnxruntime targets:7 depth:5 tf:5 semantic_masks:9,0.07646484375,0.0,151.901982421875,0,0.8260975219706951,0.6390896668002255,0.7142857142857143,7,0.026712658430932134,5,9,2,611.0476285298239,1785900940.4071195,0.13339519500732422,False,379.0,0.0013612037024740707,0.029707440804238986,0.49024088541666666,4474,5
0.058988297120459166,9.74766170287954,9.784384751334736,0.019975539884617758,0.012776692708333334,127.946513671875,583.0,0.0014843524512431453,577.0,678.0,0.01117387539685812,0.07894856770833333,271,48.38922130828392,0.0,0.030354817708333332,0.0064485677083333335,0.02390625,0.13585286458333334,0.16946289062500003,0.8352705240249634,0.7344155013561249,0.7787784934043884,0.5448344945907593,4,1,0.25,1,0.009659357371976669,0.0043827641821116885,0.007510733770634345,0.004713315448086255,101.07000168678763,27,200.5165053185132,55,45.324066162109375,0.0012505054473876953,model_ready:onnxruntime targets:4 depth:1 tf:1 semantic_masks:6,0.07073567708333334,0.0,126.27765625,0,0.7502624618536722,0.7905093984552009,0.25,4,0.0,1,6,2,420.7156991589759,1785900945.742951,0.06669950485229492,False,397.0,0.0047429599859267375,0.023112626693189354,0.48111328125,3416,6
0.0535153408679907,9.753134659132009,9.786405075670688,0.02129398671656758,0.022311197916666668,118.067060546875,380.0,0.0034251703226772477,339.0,1110.0,0.028393351800554016,0.17391927083333333,1517,52.630828231721864,0.0,0.054768880208333336,0.014182942708333333,0.0405859375,0.3294270833333333,0.3484895833333333,0.9513015747070312,0.8476197719573975,0.8476197719573975,0.7439379692077637,2,1,0.5,1,0.015335088023635092,0.0055647597614226765,0.012309737632656397,0.006351378421580167,101.07974454753585,29,200.5596518911682,59,54.42448425292969,0.0034532546997070312,model_ready:onnxruntime targets:2 depth:1 tf:1 semantic_masks:3,0.110078125,0.0,106.98210286458334,0,0.9445444429189384,0.2984352699302037,1.0,2,0.03354607057034096,2,3,1,547.5739649500423,1785900950.1476548,0.06677508354187012,False,382.0,0.004559909350098691,0.05027779808465531,0.3562239583333333,5502,7
0.05321399312730257,9.753436006872697,9.76715193939081,0.00926599909867831,0.016800130208333333,120.965771484375,377.0,0.010388581986839873,335.0,715.0,0.01787364015158657,0.17265299479166665,948,48.125676777139205,0.0,0.0398046875,0.0069401041666666665,0.032864583333333336,0.325234375,0.34622395833333336,0.9418356418609619,0.8718608617782593,0.8718608617782593,0.8018860816955566,2,1,0.5,1,0.00868613811868784,0.004100743797751469,0.00779828041748381,0.004456842278210899,101.07121944166657,31,200.5596518911682,60,49.72331619262695,0.008276224136352539,model_ready:onnxruntime targets:2 depth:1 tf:1 semantic_masks:3,0.11203125,0.0,109.03563151041666,0,0.9379542375546343,0.3311535480573463,0.5,2,0.011173000166841276,1,3,1,604.0261181410788,1785900955.1524777,0.1334514617919922,False,408.5,0.00672346002621232,0.03579292267365662,0.4967447916666667,5462,8
0.05302252415081732,9.753627475849182,9.777361388529448,0.014949720176684524,0.021285807291666667,120.84893229166667,425.0,0.012674184085075174,347.0,1100.0,0.02459204253758709,0.14203125,1073,49.61613097861503,0.0,0.042249348958333335,0.0075,0.034749348958333336,0.25048828125,0.2705891927083333,0.9327573180198669,0.8469127118587494,0.8469127118587494,0.7610681056976318,2,1,0.5,1,0.009316081914894522,0.004335031608307442,0.007830574482474243,0.004722646804701463,101.05782575173477,28,200.51171240080313,57,34.78899383544922,0.006069183349609375,model_ready:onnxruntime targets:2 depth:1 tf:1 semantic_masks:3,0.10759765625,0.0,104.32695963541667,0,0.9283974067791941,0.3666639154885692,1.0,2,0.07898173110652824,2,3,1,681.4993692727725,1785900961.5581322,0.1334528923034668,False,402.0,0.0032972631036818504,0.03752386177246086,0.5814876302083334,6703,9
0.053010599630530564,9.753639400369469,9.772704744256673,0.012652520739767015,0.020286458333333333,121.229619140625,1015.0,0.0077743820706664525,356.0,1845.8,0.018685325183636265,0.12142578125,697,48.56520952783536,0.0,0.035703125,0.004371744791666667,0.031331380208333336,0.18278971354166668,0.19492838541666668,0.9576410055160522,0.8123579819997152,0.8053233623504639,0.6741095781326294,3,1,0.3333333333333333,1,0.0072636618999480755,0.003977085525245818,0.006689961227283101,0.004350144022742263,101.02618204590891,30,200.45421525520933,60,62.186370849609375,0.007088899612426758,model_ready:onnxruntime targets:3 depth:1 tf:1 semantic_masks:4,0.10081380208333333,0.06670784950256348,94.99804361979167,0,0.9482841913095844,0.2776545442991859,0.6666666666666666,3,0.01815320631709099,2,4,1,699.2649099731342,1785900966.4312904,0.06670856475830078,False,386.0,0.003464384556499892,0.0353651834259132,0.6633723958333333,7207,10
0.05218022577452963,9.75446977422547,9.78731942438358,0.02193055057729561,0.022535807291666668,132.99224934895832,873.0,0.0133610966510498,339.0,1928.0,0.027127075018798078,0.056279296875,469,40.76967925515276,0.0,0.03234049479166667,0.003180338541666667,0.02916015625,0.077880859375,0.09423177083333333,0.8995791673660278,0.7102340087294579,0.7388580143451691,0.46364083886146545,4,3,0.75,2,0.008879511486938047,0.003959964693275476,0.007390757150633009,0.004402123576584918,101.00550264295433,31,200.45421525520933,59,44.96757125854492,0.006319999694824219,model_ready:onnxruntime targets:4 depth:3 tf:3 semantic_masks:5,0.05681966145833333,0.0,103.77134114583333,0,0.8612088397109934,0.546247388009951,0.75,4,0.022055514772543774,3,5,1,350.70470643102846,1785901027.2178814,0.13341760635375977,False,491.0,0.0005464940306036657,0.02880303794630346,0.464609375,4111,1
0.053439438522060456,9.753210561477939,9.77730137103219,0.01709624647496125,0.046927083333333335,119.79345052083333,641.0,0.015589392997721151,345.0,1500.6,0.01476072094468614,0.0628515625,285,49.38841642689515,0.0,0.0298046875,0.0056770833333333335,0.024127604166666667,0.042317708333333336,0.12636718749999998,0.9187439680099487,0.5973695665597916,0.5331376492977142,0.37984153628349304,8,3,0.375,2,0.011545933654436033,0.004394845747270832,0.008147257058076734,0.00494513063822379,101.04321850156589,28,200.51171240080313,56,82.18074798583984,0.0016291141510009766,model_ready:onnxruntime targets:8 depth:3 tf:3 semantic_masks:9,0.06464192708333333,0.0,102.80166341145834,0,0.6847967637765722,0.7168393037724817,0.375,8,0.008259808522620612,3,9,1,734.9945539736324,1785901037.2260096,0.13338470458984375,False,404.0,0.0043512390894109455,0.026949609844093596,0.6261686197916667,5184,2
0.05228881767335736,9.754361182326642,9.802581287282543,0.02430924732698479,0.04101888020833333,120.21130859375,413.0,0.002195061112496882,409.0,905.0,0.012771264654527313,0.06525065104166666,256,48.99847358624933,0.0,0.026832682291666667,0.003128255208333333,0.023704427083333333,0.03509114583333333,0.11943033854166665,0.8994412422180176,0.7210237681865692,0.7653862237930298,0.3581577241420746,7,1,0.14285714285714285,2,0.010230815846471158,0.004309366002411185,0.00810970929896111,0.0048119030566825816,101.04078437040785,30,200.51171240080313,60,75.0091781616211,0.0024924278259277344,model_ready:onnxruntime targets:7 depth:1 tf:1 semantic_masks:8,0.06393880208333333,0.0,113.69361002604167,0,0.7823553384435715,0.7192836641023805,0.2857142857142857,7,0.0,2,8,1,780.623189423614,1785901039.626873,0.1333777904510498,False,397.0,0.004758607219588416,0.023266274850997592,0.549990234375,3931,3
