curl	7.68.0-1ubuntu2.25	arm64
cutecom	0.30.3-1build1	arm64
cython3	0.29.14-0.1ubuntu3	arm64
dash	0.5.10.2-6	arm64
dbus	1.12.16-2ubuntu2.3	arm64
dbus-user-session	1.12.16-2ubuntu2.3	arm64
dbus-x11	1.12.16-2ubuntu2.3	arm64
dc	1.07.1-2build1	arm64
dconf-cli	0.36.0-1	arm64
dconf-editor	3.36.7-0ubuntu1	arm64
dconf-gsettings-backend:arm64	0.36.0-1	arm64
dconf-service	0.36.0-1	arm64
dctrl-tools	2.24-3	arm64
debconf	1.5.73	all
debconf-utils	1.5.73	all
debhelper	12.10ubuntu1	all
debianutils	4.9.1	arm64
default-libmysqlclient-dev:arm64	1.0.5ubuntu2	arm64
deja-dup	40.7-0ubuntu2	arm64
desktop-file-utils	0.24-1ubuntu3	arm64
device-tree-compiler	1.5.1-1	arm64
dh-autoreconf	19	all
dh-strip-nondeterminism	1.7.0-1	all
dialog	1.3-20190808-1	arm64
dictionaries-common	1.28.1	all
diffutils	1:3.7-3	arm64
dirmngr	2.2.19-3ubuntu2.5	arm64
distro-info	0.23ubuntu1.1	arm64
distro-info-data	0.43ubuntu1.16	all
dmsetup	2:1.02.167-1ubuntu1	arm64
dmz-cursor-theme	0.4.5ubuntu1	all
dns-root-data	2023112702~ubuntu0.20.04.1	all
dnsmasq-base	2.90-0ubuntu0.20.04.1	arm64
docbook-xml	4.5-9	all
docker-buildx-plugin	0.15.1-1~ubuntu.20.04~focal	arm64
docker-ce	5:27.0.2-1~ubuntu.20.04~focal	arm64
docker-ce-cli	5:27.0.2-1~ubuntu.20.04~focal	arm64
docker-ce-rootless-extras	5:27.0.2-1~ubuntu.20.04~focal	arm64
docker-compose-plugin	2.28.1-1~ubuntu.20.04~focal	arm64
docker.io	20.10.21-0ubuntu1~20.04.1	arm64
docutils-common	0.16+dfsg-2	all
dos2unix	7.4.0-2	arm64
dosfstools	4.1-2	arm64
dpkg	1.19.7ubuntu3.2	arm64
dpkg-dev	1.19.7ubuntu3.2	all
duplicity	0.8.11.1612-1	arm64
dwz	0.13-5	arm64
e2fsprogs	1.45.5-2ubuntu1.1	arm64
eject	2.1.5+deb1+cvs20081104-14	arm64
emacsen-common	3.0.4	all
enchant-2	2.2.8-1ubuntu0.20.04.1	arm64
eog	3.36.3-0ubuntu1	arm64
espeak-ng-data:arm64	1.50+dfsg-6	arm64
ethtool	1:5.4-1	arm64
evince	3.36.10-0ubuntu1	arm64
evince-common	3.36.10-0ubuntu1	all
evolution-data-server	3.36.5-0ubuntu1	arm64
evolution-data-server-common	3.36.5-0ubuntu1	all
fakeroot	1.24-1	arm64
fdisk	2.34-0.1ubuntu9.6	arm64
ffmpeg	7:4.2.7-0ubuntu0.1	arm64
file	1:5.38-4	arm64
file-roller	3.36.3-0ubuntu1.1	arm64
findutils	4.7.0-1ubuntu1	arm64
fio	3.16-1	arm64
firefox	136.0+build3-0ubuntu0.20.04.1	arm64
firefox-locale-zh-hans	136.0+build3-0ubuntu0.20.04.1	arm64
flatpak	1.6.5-0ubuntu0.5	arm64
flex	2.6.4-6.2	arm64
fltk1.3-doc	1.3.4-10build1	all
fluid	1.3.4-10build1	arm64
fontconfig	2.13.1-2ubuntu3	arm64
fontconfig-config	2.13.1-2ubuntu3	all
fonts-arphic-ukai	0.2.20080216.2-5	all
fonts-arphic-uming	0.2.20080216.2-10ubuntu2	all
fonts-beng	2:1.2	all
fonts-beng-extra	1.0-7	all
fonts-dejavu-core	2.37-1	all
fonts-deva	2:1.2	all
fonts-deva-extra	3.0-5	all
fonts-droid-fallback	1:6.0.1r16-1.1	all
fonts-freefont-ttf	20120503-10	all
fonts-gargi	2.0-4	all
fonts-gubbi	1.3-3	all
fonts-gujr	2:1.3	all
fonts-gujr-extra	1.0.1-1	all
fonts-guru	2:1.2	all
fonts-guru-extra	2.0-5	all
fonts-indic	2:1.3	all
fonts-kacst	2.01+mry-14	all
fonts-kacst-one	5.0+svn11846-10	all
fonts-kalapi	1.0-3	all
fonts-khmeros-core	5.0-7ubuntu1	all
fonts-knda	2:1.2	all
fonts-lao	0.0.20060226-9ubuntu1	all
fonts-lato	2.0-2	all
fonts-liberation	1:1.07.4-11	all
fonts-liberation2	2.1.0-1	all
fonts-lklug-sinhala	0.6-3	all
fonts-lohit-beng-assamese	2.91.5-1	all
fonts-lohit-beng-bengali	2.91.5-1	all
fonts-lohit-deva	2.95.4-4	all
fonts-lohit-gujr	2.92.4-4	all
fonts-lohit-guru	2.91.2-1	all
fonts-lohit-knda	2.5.4-2	all
fonts-lohit-mlym	2.92.2-1	all
fonts-lohit-orya	2.91.2-1	all
fonts-lohit-taml	2.91.3-1	all
fonts-lohit-taml-classical	2.5.4-1	all
fonts-lohit-telu	2.5.5-1	all
fonts-lyx	2.3.4.2-2	all
fonts-mlym	2:1.2	all
fonts-nakula	1.0-3	all
fonts-navilu	1.2-2	all
