# source,实体 FREE (DI bit 5)
stamp,status,handoff_progress,model_alignment,model_scale_estimate,model_normalized_residual,model_excited_joints,model_direction_mismatches,model_validation_passed,settling,position_elfin_joint1,position_elfin_joint2,position_elfin_joint3,position_elfin_joint4,position_elfin_joint5,position_elfin_joint6,velocity_elfin_joint1,velocity_elfin_joint2,velocity_elfin_joint3,velocity_elfin_joint4,velocity_elfin_joint5,velocity_elfin_joint6,measured_effort_elfin_joint1,measured_effort_elfin_joint2,measured_effort_elfin_joint3,measured_effort_elfin_joint4,measured_effort_elfin_joint5,measured_effort_elfin_joint6,gravity_effort_elfin_joint1,gravity_effort_elfin_joint2,gravity_effort_elfin_joint3,gravity_effort_elfin_joint4,gravity_effort_elfin_joint5,gravity_effort_elfin_joint6,commanded_effort_elfin_joint1,commanded_effort_elfin_joint2,commanded_effort_elfin_joint3,commanded_effort_elfin_joint4,commanded_effort_elfin_joint5,commanded_effort_elfin_joint6,effective_scale_elfin_joint1,effective_scale_elfin_joint2,effective_scale_elfin_joint3,effective_scale_elfin_joint4,effective_scale_elfin_joint5,effective_scale_elfin_joint6
# event,1786434885.3965619,ACTIVE,零力拖拽 ACTIVE；末端灯环应由固件进入蓝色零力示教状态
1786434885.3502748,1,0,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1235578681417397,0.80716673667602967,-0.61559237550083756,0.36693655782297152,-1.9254021850914855,-0.95882769613177776,0.0049855324851820395,-0.0071221892645457717,0.0042733135587274627,0,0,0.00035610946322728857,-5.1769875216069243,-64.911458924763735,23.560908829327992,3.8659123875060621,-0.47417691963405439,-0.26553907499507046,1.5617390193567449e-15,-56.921356585238925,21.913901752607089,5.3298618676021174,-0.8833032452641868,-0.5791046212094777,-5.1769875216069243,-64.911458924763735,23.560908829327992,3.8659123875060621,-0.47417691963405439,-0.26553907499507046,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.3716388,1,0.0053210702295004115,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1234833523670806,0.8070257737137766,-0.61548226301853892,0.36693560857743446,-1.9254050328280965,-0.95882959462285189,0.003204985169045597,-0.0060538608748639056,0.006409970338091194,0,0,0,-4.8584036741234211,-64.911458924763735,23.464741854514408,3.7889788076551953,-0.26553907499507046,-0.30347322856579484,2.3946637858415776e-15,-56.917888781422086,21.915001741166357,5.3296538190639229,-0.88102160017208664,-0.57873368124354041,-5.153286389630062,-64.861659943596734,23.547022865850181,3.873701058461211,-0.47634176875169593,-0.26720560549041927,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.3927219,1,0.020397329860419151,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.123367069788791,0.80684589168450405,-0.61521267728601436,0.36693655782297152,-1.9254116775468559,-0.95883006924562042,0.0085466271174549253,-0.0124638312129551,0.018517692087819004,0.00035610946322728857,-0.00035610946322728857,0,-6.1327390640574331,-64.114999306054983,23.830176358806025,4.0582463371332294,-0.53740050891859503,-0.30347322856579484,3.7602028695599143e-15,-56.914000432446841,21.916954434522172,5.3292971476144393,-0.8769440771002126,-0.57807436261506673,-5.0816467519863799,-64.733375528395385,23.512562395591399,3.8956368908585737,-0.4823281944984541,-0.27191396034967652,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.4140446,1,0.044649770499951232,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1231610835072494,0.80652836905235825,-0.6146526224191502,0.36693418470912886,-1.9254140506606987,-0.95883006924562042,0.0092588460439095022,-0.016024925845227987,0.032049851690455974,-0.00035610946322728857,0,0,-5.4955713690904275,-64.752167001021988,23.291641299849957,3.8659123875060621,-0.63855825177385994,-0.13276953749753523,3.4045845569846689e-15,-56.907587540962567,21.920861727151074,5.3285745601883541,-0.86889310484228788,-0.57677005550168647,-4.9569468321387546,-64.534857993351608,23.462041221254317,3.9313445561474158,-0.49180090671621829,-0.27943546684716564,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.4352293,1,0.076796984260283238,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1229218736319109,0.80611592186650649,-0.61380731926840015,0.36693371008636033,-1.9254202207566895,-0.95883054386838895,0.013532159602636965,-0.023859334036228332,0.051991981631184132,0.00035610946322728857,0,0,-5.1769875216069243,-63.796415458571481,23.099307350222791,3.7889788076551953,-0.47417691963405439,-0.13276953749753523,2.8090729612198495e-15,-56.899706105932964,21.926401875118245,5.3275515533161055,-0.85737530847369947,-0.57490534761043732,-4.7956490839175583,-64.267549268795236,23.393790039187273,3.97803722920486,-0.50360540027033851,-0.28929747176377529,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.4565678,1,0.11636385050958205,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1225739751425792,0.80554684916704034,-0.61230798594261715,0.36693276084082327,-1.9254301878348286,-0.95883101849115748,0.019942129940728158,-0.02991319491109224,0.085110161711321963,0,-0.0010683283896818657,0,-3.9026521316729119,-63.517654592023412,23.195474325036376,4.0582463371332294,-0.53740050891859503,-0.3350850232080651,5.1374919943225628e-15,-56.890184560965821,21.935439037791181,5.3258495799340366,-0.83842923753332654,-0.57183657935023935,-4.5985038754815575,-63.942176719905099,23.303674776128702,4.03579630071913,-0.5163704227917113,-0.30118103200331336,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.4777362,1,0.16182430564756103,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1221183372847914,0.80486291775759,-0.61027090502009074,0.36693276084082327,-1.9254449011406531,-0.95883101849115748,0.021366567793637315,-0.033474289543365128,0.099710649703640797,0.00035610946322728857,0.00035610946322728857,0.00035610946322728857,-4.3805279028981667,-63.517654592023412,23.368574879700823,4.519847816238431,-0.50578871427632466,-0.36669681785033542,1.8989530000540489e-15,-56.879569245528131,21.947167567127863,5.3235834807897326,-0.81351200897521803,-0.56779905671413711,-4.36486499192916,-63.571534806931581,23.219997750314725,4.1016743617270839,-0.52915368455192224,-0.3145161863651838,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.4989576,2,0.21268910588907786,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.121613813281845,0.80397110157552409,-0.60807957169779248,0.36693276084082327,-1.925446799631727,-0.95883196773669455,0.025639881352364776,-0.049143105925365825,0.11431113769595963,0,-0.00035610946322728857,0,-4.8584036741234211,-62.880486897056407,22.92620679555834,3.692811832841612,-0.43624276606333007,-0.43624276606333007,1.7843799354766432e-15,-56.863678666363484,21.960400163026968,5.3209812620541976,-0.78514500414044197,-0.56319871075567007,-4.106666532060272,-63.140812010102373,23.10042688657602,4.1753896854407317,-0.54025234378437625,-0.328848036784261,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.520195,2,0.26797717940420768,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1210399943546934,0.80290889581955627,-0.60533909983230616,0.36693038772698061,-1.9254586652009404,-0.95883244235946308,0.02955708544786495,-0.053060310020865996,0.13460937709991508,0,-0.0010683283896818657,0,-3.4645993413830953,-62.243319202089403,22.368438341639553,3.962079362319646,-0.47417691963405439,-0.3350850232080651,-8.7346037520863451e-17,-56.844877405094209,21.976342146093629,5.3176759530425093,-0.75023105280794933,-0.55752912573186353,-3.825141510293359,-62.686126789663547,22.959374863097203,4.2549518929603147,-0.54796082849472549,-0.34378574520560778,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.5410686,2,0.32570213720907393,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1203911850301143,0.80170430323302977,-0.6024339338661403,0.36693038772698061,-1.9254624621830887,-0.95883291698223161,0.033474289543365128,-0.063387484454457368,0.14564877045996102,0,-0.00035610946322728857,0,-3.1460154938995926,-62.243319202089403,23.291641299849957,4.6929483709028812,-0.50578871427632466,-0.30347322856579484,3.7785800963835436e-15,-56.822392948923081,21.993295774546823,5.3140439748718418,-0.7124052689497411,-0.5513819923121277,-3.5310007689668796,-62.200767867061884,22.84251734978103,4.3375719404710651,-0.55170430244658242,-0.35863872407131259,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.562134,2,0.38646506603777392,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1196455526607554,0.80026429775331287,-0.59892552236117413,0.36693086234974914,-1.925471005392922,-0.9588343408505372,0.036323165249183435,-0.068373016939639403,0.17378141805491681,0,-0.0014244378529091543,0.00035610946322728857,-3.3053074176413437,-61.446859583380643,22.272271366825972,4.6160147910520148,-0.50578871427632466,-0.36669681785033542,5.907682112601953e-16,-56.795040814914699,22.013171504743447,5.3095524500550306,-0.66687983052413968,-0.54397348160437942,-3.2198504954913929,-61.692699243623181,22.676174451419531,4.423828839613825,-0.54839346400333877,-0.3732083460359063,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.5831158,2,0.4486039149600286,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1189027680280075,0.79891114824023668,-0.59536490235166983,0.36693181159528621,-1.9254767008661444,-0.9588357647188428,0.036323165249183435,-0.064455812844139232,0.17983527892978071,0,-0.00035610946322728857,-0.00035610946322728857,-3.3053074176413437,-61.287567659638896,22.830039820744755,4.4236808414248472,-0.40463097142105975,-0.36669681785033542,-3.9166803481038848e-17,-56.769780982763507,22.03239630612395,5.3049696352049871,-0.62163253499733762,-0.53660016640878816,-2.8981584500138626,-61.181723350225759,22.57167334634984,4.5114791026754038,-0.5402619862654825,-0.38707404209322155,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.6045351,2,0.51277970178691457,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,0,-1.1180308860022197,0.79743602067564867,-0.59115926999973456,0.36693276084082327,-1.9255085005916359,-0.95883813783268546,0.043089245050501913,-0.068373016939639403,0.19942129940728159,0,-0.0028488757058183086,0,-2.5088477989325861,-60.650399964671891,22.176104392012387,4.6160147910520148,-0.43624276606333007,-0.43624276606333007,1.6286071883447883e-15,-56.742473926529954,22.05370782643579,5.2994899415346977,-0.56952363302411257,-0.52809386643428591,-2.5740404981833493,-60.640521613140073,22.429667110191602,4.6010218581492799,-0.52255598126552361,-0.4001718426519969,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.6253874,10,0.57508460573449383,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,1,-1.1170811658423934,0.79612748570281433,-0.58693417811428972,0.36693276084082327,-1.9255227392746919,-0.95883813783268546,0.048786996462138535,-0.061963046601548208,0.21295345900991855,0,-0.0010683283896818657,-0.00035610946322728857,-3.1460154938995926,-60.809691888413639,21.810669887720771,4.6160147910520148,-0.5753346624893193,-0.43624276606333007,1.718365575699432e-15,-56.719448563462805,22.073943379553153,5.2939936014937548,-0.51859948806409539,-0.51976903424165177,-2.6224681857328793,-60.573031391529419,21.649667110191618,4.6017214569905889,-0.52224177215428513,-0.40019257632079713,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.6467395,10,0.6377891512051308,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,1,-1.1159771932827949,0.79480186431031286,-0.58243380502309794,0.3669332354635918,-1.9255331809755993,-0.95883813783268546,0.052348091094411422,-0.060182499285411771,0.20369461296600905,0,0.0010683283896818657,0,-2.5088477989325861,-60.491108040930136,21.252901433801984,5.0776162701572165,-0.50578871427632466,-0.43624276606333007,4.5462901021933733e-15,-56.696129760044272,22.094554571960824,5.288039054344619,-0.46492792213651291,-0.5109812818315469,-2.7710738774740875,-60.394951542574368,20.929667110191634,4.6036468529926582,-0.52329274552587246,-0.40056892529976879,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.6678467,6,0.69777907523448479,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,1,-1.1147768723011851,0.79348288763657082,-0.57837625497494372,0.36693655782297152,-1.9255374525805162,-0.95884098556929653,0.058045842506048037,-0.061250827675093635,0.19194300067950854,0,0,0,-3.1460154938995926,-60.172524193446634,20.887466929510367,4.8852823205300488,-0.63855825177385994,-0.30347322856579484,3.5018917019652429e-15,-56.6707833028388,22.112948465381628,5.2824122242349736,-0.41533800613021793,-0.50284941028338392,-2.9881986544602039,-60.172876041083988,21.049667110191631,4.6059288333937101,-0.52214267926301283,-0.40091412019495082,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434885.6889992,6,0.75499780056689703,0.99932663869663463,1.1288717087105764,0.036691541140786182,3,0,1,1,-1.1135770259423439,0.79228161740942404,-0.57422710273246347,0.36693560857743446,-1.9255398256943588,-0.958840510946528,0.059470280358957191,-0.056977514116366174,0.19586020477500871,0,-0.0010683283896818657,0,-2.986723570157841,-59.893763326898565,21.079800879137533,4.789115345716465,-0.36669681785033542,-0.43624276606333007,1.3271989843938181e-15,-56.648516779086016,22.130641159055134,5.2766292101343311,-0.36595972035502883,-0.49473872249157769,-3.1585781317425377,-60.045478687047805,21.118561753507894,4.6077610318470921,-0.51952923271615681,-0.40119127663011411,1,1.8307835762794629,1.7616246212198707,1,1,1
# event,1786434885.8954792,RECOVERING,控制器保护：控制器检测到关节速度超过硬上限；保持力矩控制并增强阻尼，静止后切回位置保持
