# source,实体 FREE (DI bit 5)
stamp,status,handoff_progress,model_alignment,model_scale_estimate,model_normalized_residual,model_excited_joints,model_direction_mismatches,model_validation_passed,settling,position_elfin_joint1,position_elfin_joint2,position_elfin_joint3,position_elfin_joint4,position_elfin_joint5,position_elfin_joint6,velocity_elfin_joint1,velocity_elfin_joint2,velocity_elfin_joint3,velocity_elfin_joint4,velocity_elfin_joint5,velocity_elfin_joint6,measured_effort_elfin_joint1,measured_effort_elfin_joint2,measured_effort_elfin_joint3,measured_effort_elfin_joint4,measured_effort_elfin_joint5,measured_effort_elfin_joint6,gravity_effort_elfin_joint1,gravity_effort_elfin_joint2,gravity_effort_elfin_joint3,gravity_effort_elfin_joint4,gravity_effort_elfin_joint5,gravity_effort_elfin_joint6,commanded_effort_elfin_joint1,commanded_effort_elfin_joint2,commanded_effort_elfin_joint3,commanded_effort_elfin_joint4,commanded_effort_elfin_joint5,commanded_effort_elfin_joint6,effective_scale_elfin_joint1,effective_scale_elfin_joint2,effective_scale_elfin_joint3,effective_scale_elfin_joint4,effective_scale_elfin_joint5,effective_scale_elfin_joint6
# event,1786434666.195998,ACTIVE,零力拖拽 ACTIVE；末端灯环应由固件进入蓝色零力示教状态
1786434666.1466196,1,0,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.35602213263787924,0.78781731564864055,-0.52723232930656716,3.0062995349295352,1.9066939794243789,-0.9214777319851587,0.0053416419484093288,-0.00035610946322728857,0.00035610946322728857,0,0,0,-5.3362794453486755,-67.141545857148259,25.118813821308045,-3.2119769587736937,1.8018722946094068,1.2581494267623576,-2.2570378725716989e-16,-55.33447843837326,20.965445294194677,-3.296100967832519,1.629705434863195,-0.0096253412929591525,-5.3362794453486755,-67.141545857148259,25.118813821308045,-3.2119769587736937,1.8018722946094068,1.2581494267623576,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.1675651,1,0.0051175162993887299,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.35582468956617119,0.78781162017541817,-0.52721856524627986,3.0062966871929242,1.9066939794243789,-0.92147583349408468,0.014244378529091543,-0.00071221892645457715,0.00071221892645457715,0,0,-0.00035610946322728857,-5.3362794453486755,-66.663670085923002,24.945713266643597,-3.1158099839601099,1.7639381410386823,1.3276953749753524,-8.003038336201751e-16,-55.334343525225123,20.96550053690623,-3.2961045167342338,1.6295290884882316,-0.0096559203702579945,-5.32606420254392,-67.080267644052711,25.096989397737488,-3.2124074829227847,1.8009903254429929,1.2517255119373352,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.1886973,1,0.020054461445753655,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.35536288161239249,0.78780829781603845,-0.52721381901859454,3.0062985856839983,1.9066977764065272,-0.92147488424854762,0.02955708544786495,0.00035610946322728857,-0.00035610946322728857,0,0,0,-5.1769875216069243,-66.822962009664764,25.21498079612163,-3.1158099839601099,1.7639381410386823,1.1886034785493631,-7.0963742694607479e-16,-55.334222417169521,20.965489993194563,-3.2960799662248692,1.6294921814782357,-0.0096602919533916882,-5.2647317374856009,-66.905183675799535,25.035806036295995,-3.2136635992940952,1.7984153042766031,1.2327241856378208,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.2103324,1,0.044573692699385735,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.35462389396179289,0.78782016338525163,-0.52723422779764129,3.006299060306767,1.9066963525382215,-0.92147488424854762,0.037747603102092589,0.00071221892645457715,-0.0010683283896818657,0,0,0,-4.5398198266399179,-67.460129704631768,24.849546291830013,-3.0196430091465261,1.9346418321069419,1.2897612214046279,1.1773080340476971e-16,-55.334530571290408,20.965403184168956,-3.2961048222849514,1.629774077344077,-0.00961646851974844,-5.1437188889161662,-66.616118248811233,24.934535634625593,-3.2157268483093002,1.7942012415589099,1.2016404193312915,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.2315485,1,0.076753792273097018,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.35363810247155819,0.78784816612859487,-0.52728833479325365,3.0063023826661466,1.9066944540471473,-0.92147535887131615,0.057333623579593457,0.0014244378529091543,-0.0035610946322728858,0,0,0,-5.6548632928321787,-66.663670085923002,24.387944812724811,-3.2119769587736937,1.7639381410386823,1.0178997874811033,-2.7210764023954948e-16,-55.335228851805091,20.965168560410159,-3.2961511806190416,1.6305072724955265,-0.009500379966828159,-4.9955001095846976,-66.237075579633313,24.802854671482773,-3.2184376495119613,1.7887193792992033,1.1608524968216341,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.2525251,1,0.11558631815799456,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.35225789946067593,0.78785433622458578,-0.52735620584915321,3.0063014334206093,1.9066977764065272,-0.92147535887131615,0.073714658888048734,0,-0.00071221892645457715,-0.00035610946322728857,0.00035610946322728857,0.00035610946322728857,-5.6548632928321787,-65.54862661973074,24.580278762351977,-3.2119769587736937,1.8018722946094068,1.1190575303363683,-8.7415155409359402e-16,-55.335177439085534,20.964903885375598,-3.2962206348421876,1.6312126183950275,-0.0093923770052640604,-4.8079361422642952,-65.776891200887562,24.639248440994866,-3.2215897368064161,1.7820822712743702,1.1115748368501341,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.2738314,1,0.16125547883765939,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.35050511757649844,0.78785101386520606,-0.52734813726208829,3.0063000095523038,1.9067001495203697,-0.92147583349408468,0.090807913122958578,-0.00035610946322728857,0.00035610946322728857,0,0,0,-4.6991117503816699,-65.389334695988993,24.387944812724811,-3.4812444882517277,1.8650958838939473,1.0178997874811033,-1.343136756329355e-15,-55.335078520220875,20.964915987149549,-3.2962211246514346,1.6311287575095688,-0.0094062456759547372,-4.5847446439249664,-65.237260981994964,24.448690149447518,-3.2255617920815882,1.7743389637759368,1.0537491298499262,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.2948694,2,0.21160411743519725,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.34835222869845101,0.78784911537413194,-0.52734149254332885,3.0062966871929242,1.9067001495203697,-0.92147725736239017,0.1182283417914598,0,0.00035610946322728857,-0.00035610946322728857,0,-0.00035610946322728857,-4.2212359791564147,-64.59287507728024,24.484111787538396,-3.1158099839601099,1.6627803981834175,0.9546761981965628,-1.925177140101042e-15,-55.335040116433973,20.964941293921811,-3.2962409353162103,1.6310470566702679,-0.0094210548732352843,-4.385431436660757,-64.643240629890826,24.239552403641586,-3.2296829248494237,1.7657249708996376,0.98999039341233108,1,1.8307835762794629,1.7616246212198707,1,1,1
1786434666.3159139,2,0.26629335373230484,0.99992943035042692,1.2106468802330423,0.011879996593864196,4,0,1,0,-0.34548977878145282,0.78784721688305781,-0.52733911942948619,3.0062938394563132,1.9067034718797495,-0.92147868123069576,0.14493655153350646,0,0.00035610946322728857,0,0.00035610946322728857,0.00035610946322728857,-4.3805279028981667,-63.955707382313228,24.387944812724811,-3.1158099839601099,1.8334840892516771,0.91674204462583853,-6.1046003321796327e-16,-55.33495743365966,20.964921851623046,-3.2962590371829497,1.631034686550964,-0.0094246604265950194,-4.1790606603012339,-63.997529829720477,24.012375110088353,-3.2344207160928238,1.7563152753125382,0.92053877227726555,1,1.8307835762794629,1.7616246212198707,1,1,1
