pose,approach,elfin_joint1,elfin_joint2,elfin_joint3,elfin_joint4,elfin_joint5,elfin_joint6,effort_elfin_joint1,effort_elfin_joint2,effort_elfin_joint3,effort_elfin_joint4,effort_elfin_joint5,effort_elfin_joint6,stddev_elfin_joint1,stddev_elfin_joint2,stddev_elfin_joint3,stddev_elfin_joint4,stddev_elfin_joint5,stddev_elfin_joint6,reported_speed_peak,position_span
拟合 A,first,0.00039730671953560346,0.28272942525662215,-0.35901745319892725,-0.001782908564409875,0.0018203444352775978,0.0025208283137802953,5.957517947941506,-24.33582364964609,15.650694316036667,2.897991786007343,3.19042037427113,1.2581494267623574,0.5923325391143553,0.29369279697956013,0.2553767386386791,0.37518402429909165,0.06700936220360897,0.11385513484631139,0.0003561094632272886,9.967078139108514e-06
拟合 A,second,-0.0022993337332770374,0.2809049871999658,-0.35936885203117674,-0.0026870768040267827,0.0015332688537328476,0.002827482084526866,-5.296456464413239,-43.713686172830165,21.76499057468431,-2.095478381187987,5.5507150212362415,-0.9323898829737625,0.4225741836314498,0.37507667335750033,0.3128513596386027,0.26905965988598507,0.06258736187621114,0.13211300442099755,0.0003561094632272886,8.068587064992937e-06
拟合 B,first,0.0028349573931311964,0.40210423021103264,-0.49884937752905845,0.002634500466842985,0.34977597834834595,-0.002788835925599393,5.161058329232748,-34.256723775187055,19.80847347210196,3.2667921344174373,2.4178281132140436,1.0237479694899236,0.5804327545551835,0.42626287942894786,0.20900780838236807,0.17446025126982234,0.06858939958263777,0.10830800123267852,0.0007122189264545771,9.967078139108514e-06
拟合 B,second,-0.001194945878756183,0.39759915835443266,-0.4973148153282814,0.0010857470452868786,0.35006056216035575,0.0012453864134815992,-5.396013916751833,-54.49774941014674,26.353597777914466,-1.9646912954415128,4.722960178528392,-0.9570470827947328,0.386406059303561,0.5565965033106416,0.21862710966924018,0.1497582581774235,0.0714662559331493,0.09040848919739866,0.0003561094632272886,7.59396429644843e-06
拟合 C,first,-0.002067421183004566,0.3999902248032972,-0.5029131095387728,0.0021061148042088923,-0.3525352571410351,-0.0013323135735376812,4.329753602205484,-38.99466293198077,22.237651255893088,3.044165587723991,7.060336274377859,0.9676370339998934,0.32019602134573755,0.31447550204751124,0.24586418234384477,0.16794771294796781,0.06608282921280038,0.10578338118995681,0.0003561094632272886,6.170095990876926e-06
拟合 C,second,0.0027104163786691934,0.400568576377888,-0.4972405843272836,0.00288310787299846,-0.35141178945121926,-2.4965157624623995e-05,5.372120128190569,-59.93955975497431,29.940625938461118,-1.5405949365136096,9.486383454198895,-0.9406089495807521,0.6028810014321268,0.4167689475941873,0.22806784248278628,0.17110156150370917,0.09647503335054171,0.06661749778822378,0.0003561094632272886,8.543209833521397e-06
拟合 D,first,0.0018103654915692755,0.52075986301543,-0.6172578861234519,0.34709405120135756,0.30203819484388666,-0.25074038460838377,2.6611707010106374,-43.5981995281174,23.382999925922864,2.654689339728976,3.8424136387679524,0.6172202903903273,0.6513150188761212,0.5077391026980056,0.18774739351384226,0.3966578799052724,0.09961227114685764,0.09687545229978693,0.0003561094632272886,5.695473222377956e-06
拟合 D,second,-0.002289283596153436,0.5211991145221341,-0.622718112570578,0.3473714682095629,0.30036406981802344,-0.24981239030578672,-5.312385656787414,-68.44773963183061,31.430733213197602,-2.35128253419212,6.51202969630768,-1.288180631672514,0.39107708259720986,0.5885992854397931,0.1826102983513001,0.20922671919844243,0.07383908949950328,0.08440704350716759,0.0007122189264545771,6.6447187594409485e-06
拟合 E,first,0.0022635234453915252,0.5195496698802348,-0.6221959444662118,-0.3479425224590877,-0.3006243766754232,0.25042561478829534,5.527429753838778,-48.15195739808471,26.845491854085946,2.6354559447662598,6.664082428536998,1.3610458183229475,0.6644115595579531,0.33984545550930023,0.2050629673795667,0.23459568368025752,0.0779722713505049,0.07068594499535481,0.0003561094632272886,9.017832602050725e-06
拟合 E,second,0.0010281753034643143,0.5175000707821888,-0.6195680293902821,-0.3491015512598355,-0.29852110960782563,0.2489015892129797,4.024112223525998,-71.69629930163899,32.97709816820004,-2.0435482147886526,9.916145802360562,-0.7191683281116495,0.6089759359207882,0.47158611272879014,0.3468919540826883,0.21928389952164531,0.06666848047897493,0.08075251349076278,0.0007122189264545771,7.593964296503941e-06
