pose,approach,elfin_joint1,elfin_joint2,elfin_joint3,elfin_joint4,elfin_joint5,elfin_joint6,effort_elfin_joint1,effort_elfin_joint2,effort_elfin_joint3,effort_elfin_joint4,effort_elfin_joint5,effort_elfin_joint6,stddev_elfin_joint1,stddev_elfin_joint2,stddev_elfin_joint3,stddev_elfin_joint4,stddev_elfin_joint5,stddev_elfin_joint6,reported_speed_peak,position_span
拟合 A,first,-0.0012390857962293771,0.27832688378359305,-0.3582445181548085,0.0006690994479337197,0.0023925021827392754,-0.0030005414115017435,-6.363712353482971,-24.526973958136193,14.594300097709453,3.145140911278254,2.8162947846798603,1.5138888454183248,0.25918612072475783,0.4362207223092506,0.23224672845934924,0.11603871567303509,0.09748484984779508,0.12121752773881539,0.0007122189264545771,5.220850453818704e-06
拟合 A,second,-0.0021024364777527927,0.27847742226020145,-0.35778274579773744,-0.00010002674846748109,0.0010846791440576884,-0.0021023178220606594,3.1340685996189612,-40.767781158131136,20.044082560395236,-1.6680161781416074,5.270002284812881,-0.7379773459238002,0.23189835117333596,0.4483391655018794,0.33728570018123455,0.09223886859148155,0.04318106350411491,0.12525602706972053,0.0003561094632272886,5.695473222377956e-06
拟合 B,first,-0.000788502670926396,0.397670968779311,-0.5024865067288496,-0.0005039069933472107,0.3480481497562238,-0.0016094695392201738,-5.419907705313095,-33.43338364434686,18.547243597421808,3.0013712839319453,2.431579243883431,1.274587559976338,0.3185589571481016,0.5111439001095766,0.3110637457662333,0.1842771033519574,0.08845429789744812,0.09587081319829002,0.0003561094632272886,1.2814814750282313e-05
拟合 B,second,-0.0023401156946628874,0.3988088175390129,-0.501173439108576,0.002002006299932063,0.3502992736817873,-0.0019140468353544301,-6.335836266828165,-53.50715275937773,23.73208604449617,-1.5213615415508925,4.564901205317041,-0.7839725071283035,0.3917860882757956,0.42394995437425725,0.46800426743154894,0.10715607717166227,0.06989692341348273,0.09220678775869551,0.0010683283896818657,4.2716049167609155e-06
拟合 C,first,0.0024603851042081307,0.3970563204284966,-0.4990226978985558,-0.0007733384734718957,-0.3489744235512847,0.00032963737831258517,5.7942437261062105,-37.54411085140746,21.990502130622172,2.9912737515765193,6.3520740154177915,1.8273197892964343,0.4840581210080281,0.4918168375429321,0.19645150049475296,0.24806559615129892,0.07890547106614841,0.06699146430396374,0.0003561094632272886,8.068587064992503e-06
拟合 C,second,0.0006740592558648478,0.39756204285393376,-0.5004993442560031,0.0024871894250608046,-0.3478368832963822,0.0017024006772981472,-4.830527587468615,-56.737792087765115,26.76086491625,-1.28190577426507,9.21309948951646,-0.12455047089054497,0.30199896159871154,0.4296224186182271,0.3236611654014907,0.17065506412869338,0.05530686519833692,0.10266973640967268,0.0003561094632272886,5.695473222347598e-06
拟合 D,first,-0.0027348594512484363,0.5228168543630962,-0.6174223191816088,0.34877549728342516,0.3029944766634879,-0.24865083413879635,-6.240261112583115,-42.23625358012541,22.886297501010706,3.0566672944497557,3.528192400023787,1.4298014716698855,0.42353008662335234,0.39751234940139224,0.2409702424256815,0.10720676926900122,0.12919868479253424,0.08719986204369315,0.0003561094632272886,6.64471875940582e-06
拟合 D,second,0.0006520367594051038,0.517096878740323,-0.6207424241031612,0.3474716610759992,0.30021824197239305,-0.25090202925777544,-3.668692118677214,-65.85924587102718,30.369530646129704,-1.7473539323628138,6.327258756623608,-0.8253839581096771,0.3077195073786416,0.37178543905124156,0.3739893961939314,0.17060086382746964,0.05181803796399582,0.15408245057735606,0.0007122189264545771,6.6447187594409485e-06
拟合 E,first,0.002874410410765167,0.5199090423749957,-0.6216457973496409,-0.3471654581968827,-0.30290792920164666,0.2503592387941166,5.479642176716249,-45.86114041977366,26.489674047275685,3.4043109084008614,6.6489087671087095,1.8965496195630067,0.5217266470947028,0.4945661119272429,0.32166343692593735,0.08438617792324309,0.0666184353220567,0.06590869661036032,0.0014244378529091543,6.6447187594409485e-06
拟合 E,second,-0.0005121772950888282,0.5218501189770177,-0.6171719200745021,-0.34997483342279045,-0.2978934091308769,0.25013025703943986,0.48882709098249977,-67.83844802351845,32.38422876847429,-2.1820286585202124,9.395657603575577,-0.12518270678339039,0.331750469006323,0.5180815239336232,0.22764370352706248,0.15731165285245327,0.060556186181342266,0.06960627184063786,0.0003561094632272886,6.170095990909452e-06
