trial_id,recorded_at,record_status,invalidated_at,invalidation_reason,layout_index,repeat_index,order_in_block,indices_match_recommendation,method_id,method_label,robot_proximity_weight,blind_to_operator,score,score_meaning,note,outcome,no_feasible_plan,dry_run,tool_pulse_bypassed,plan_id,target_index,target_label,target_center_x,target_center_y,target_center_z,target_radius_m,selected_outward_x,selected_outward_y,selected_outward_z,selected_insertion_x,selected_insertion_y,selected_insertion_z,entry_pose_x,entry_pose_y,entry_pose_z,entry_pose_qx,entry_pose_qy,entry_pose_qz,entry_pose_qw,leg_entry_s,leg_insert_s,leg_retreat_s,leg_return_s,retimed_entry_eta_s,measured_execution_wall_clock_s,total_execution_cycle_s,execution_attempt_count,execution_replayed,joint_delta_l2_rad,joint_delta_inf_rad,joint_delta_weighted,light_transmission,local_light,utility,patch_utility,unknown_fraction,observed_fraction,soft_clearance_m,entry_distance_m,distance_score_exp_neg_d,reconstruction_view_count,reconstruction_complete,occupied_voxel_count,semantic_voxel_count,target_voxel_count,scene_id,group_number,moveit_message,result_json_path,batch_archive_path
L05R1O2-20260814-031423-205187,2026-08-14T03:14:55.476,active,,,5,1,2,true,M3,straight_line,,true,2,clean_hit,,executed,false,false,true,approach-1786677179187-0002,-1.0,reconstructed_citrus_1,-0.391133,0.23224,0.738378,0.064887,0.163438,-0.977966,-0.129883,-0.163438,0.977966,0.129883,-0.323325,-0.173506,0.684491,-0.446457,-0.485526,-0.461845,0.592993,2.951287,2.000862,2.149983,3.200165,0.633898,10.302406,10.971655,1,false,1.126378,0.757813,0.396069,1.0,0.97479,0.559599,,0.09375,0.90625,0.028705,0.251235,0.77784,10.0,true,58178.0,59622.0,421.0,probe_L05R1,53,已复用 approach-1786677179187-0002 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-031435-167558_approach-1786677179187-0002_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-031231_g0053.zip
L05R1O3-20260814-031456-955518,2026-08-14T03:15:13.463,active,,,5,1,3,true,M1,geometric_centre,0.0,true,2,clean_hit,,executed,false,false,true,approach-1786677191112-0003,-1.0,reconstructed_citrus_1,-0.391133,0.23224,0.738378,0.064887,0.114225,-0.993201,-0.022461,-0.114225,0.993201,0.022461,-0.343742,-0.179826,0.729059,-0.483312,-0.505152,-0.456771,0.550083,2.449739,1.80015,1.850135,2.499532,0.483254,8.599714,9.590884,1,false,0.82325,0.483374,0.28784,1.0,1.0,0.625901,0.614587,0.21875,0.78125,0.031398,0.256483,0.773769,10.0,true,58178.0,59622.0,421.0,probe_L05R1,53,已复用 approach-1786677191112-0003 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-031507-469285_approach-1786677191112-0003_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-031231_g0053.zip
L06R1O1-20260814-031622-433052,2026-08-14T03:18:27.609,superseded,2026-08-14T03:26:00.986,操作者要求覆盖共享地图区块并从 0/3 重采,6,1,1,false,M1,geometric_centre,0.0,true,1,contaminated_hit,,executed,false,false,true,approach-1786677459565-0004,-1.0,reconstructed_citrus_1,-0.341761,0.287699,0.692542,0.054547,0.400912,-0.913489,0.069336,-0.400912,0.913489,-0.069336,-0.179573,-0.08185,0.720591,-0.425852,-0.594406,-0.348117,0.58664,3.709232,2.641365,2.791803,3.500056,0.743139,12.642626,13.311969,1,false,1.360536,0.968973,0.417726,0.857143,0.773109,0.519294,0.553838,0.242424,0.757576,0.017639,0.352695,0.702791,10.0,true,61658.0,63338.0,589.0,probe_L06R1,54,已复用 approach-1786677459565-0004 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-031825-069283_approach-1786677459565-0004_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-031722_g0054.zip
L05R2O1-20260814-032304-951765,2026-08-14T03:25:08.793,active,,,5,2,1,true,M3,straight_line,,true,2,clean_hit,,executed,false,false,true,approach-1786677863125-0001,-1.0,reconstructed_citrus_1,-0.420605,0.190749,0.708175,0.030214,0.245212,-0.967389,-0.063477,-0.245212,0.967389,0.063477,-0.327372,-0.177066,0.68404,-0.440904,-0.523321,-0.425126,0.592458,2.992038,1.799101,1.947201,3.299792,0.623167,10.038275,11.015775,1,false,1.081637,0.7416,0.390212,0.428571,0.394958,0.29627,,0.257143,0.742857,0.000869,0.248627,0.779871,10.0,true,55203.0,56737.0,223.0,probe_L05R2,55,已复用 approach-1786677863125-0001 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-032505-170684_approach-1786677863125-0001_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-032406_g0055.zip
L05R2O2-20260814-032510-800973,2026-08-14T03:25:31.102,active,,,5,2,2,true,M1,geometric_centre,0.0,true,2,clean_hit,,executed,false,false,true,approach-1786677874841-0002,-1.0,reconstructed_citrus_1,-0.420605,0.190749,0.708175,0.030214,-0.019237,-0.999643,0.018555,0.019237,0.999643,-0.018555,-0.427919,-0.189329,0.71523,-0.523559,-0.484937,-0.485821,0.504679,2.451668,2.199931,2.047497,2.30089,0.455603,9.000146,9.900944,1,false,0.617659,0.524596,0.188973,0.571429,0.579832,0.361543,0.447131,0.4,0.6,0.004887,0.281518,0.754637,10.0,true,55203.0,56737.0,223.0,probe_L05R2,55,已复用 approach-1786677874841-0002 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-032527-581163_approach-1786677874841-0002_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-032406_g0055.zip
L05R2O3-20260814-032532-596192,2026-08-14T03:25:45.431,active,,,5,2,3,true,M2,task_conditioned,0.6,true,2,clean_hit,,executed,false,false,true,approach-1786677887315-0003,-1.0,reconstructed_citrus_1,-0.420605,0.190749,0.708175,0.030214,-0.019237,-0.999643,0.018555,0.019237,0.999643,-0.018555,-0.427919,-0.189329,0.71523,-0.523559,-0.484937,-0.485821,0.504679,2.368138,1.878914,2.149013,2.298499,0.455673,8.694673,9.618344,1,false,0.61769,0.524691,0.188974,0.571429,0.579832,0.361543,0.447131,0.4,0.6,0.004887,0.281518,0.754637,10.0,true,55203.0,56737.0,223.0,probe_L05R2,55,已复用 approach-1786677887315-0003 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-032543-367577_approach-1786677887315-0003_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-032406_g0055.zip
L06R1O1-20260814-033201-128769,2026-08-14T03:34:03.111,superseded,2026-08-14T03:36:36.536,操作者要求覆盖共享地图区块并从 0/3 重采,6,1,1,true,M1,geometric_centre,0.0,true,1,contaminated_hit,,executed,false,false,true,approach-1786678396184-0001,-1.0,reconstructed_citrus_1,-0.4035,0.156,0.78525,0.025,0.163438,-0.977966,-0.129883,-0.163438,0.977966,0.129883,-0.342211,-0.210737,0.736544,-0.446456,-0.485526,-0.461846,0.592992,2.898239,2.114374,1.949537,2.600236,0.534759,9.562513,10.263714,1,false,0.826969,0.516553,0.283003,0.714286,0.773109,0.442904,0.501981,0.25,0.75,0.007667,0.229488,0.79494,10.0,true,57879.0,59424.0,16.0,probe_L06R1,58,已复用 approach-1786678396184-0001 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-033400-369005_approach-1786678396184-0001_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-033301_g0058.zip
L06R1O2-20260814-033425-242079,2026-08-14T03:34:51.700,superseded,2026-08-14T03:36:36.536,操作者要求覆盖共享地图区块并从 0/3 重采,6,1,2,true,M2,task_conditioned,0.6,true,1,contaminated_hit,,executed,false,false,true,approach-1786678408075-0002,-1.0,reconstructed_citrus_1,-0.4035,0.156,0.78525,0.025,0.163438,-0.977966,-0.129883,-0.163438,0.977966,0.129883,-0.342211,-0.210737,0.736544,-0.446456,-0.485526,-0.461846,0.592992,2.853213,1.996945,1.849093,2.500102,0.534815,9.199519,9.892186,2,true,0.826996,0.516619,0.282995,0.714286,0.773109,0.442904,0.501981,0.25,0.75,0.007667,0.229487,0.794941,10.0,true,57879.0,59424.0,16.0,probe_L06R1,58,已复用 approach-1786678408075-0002 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-033450-368354_approach-1786678408075-0002_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-033301_g0058.zip
L06R1O3-20260814-033454-519490,2026-08-14T03:35:37.530,superseded,2026-08-14T03:36:36.536,操作者要求覆盖共享地图区块并从 0/3 重采,6,1,3,true,M3,straight_line,,true,1,contaminated_hit,,executed,false,false,true,approach-1786678421767-0003,-1.0,reconstructed_citrus_1,-0.4035,0.156,0.78525,0.025,0.208844,-0.948721,-0.237305,-0.208844,0.948721,0.237305,-0.325184,-0.19977,0.696261,-0.407659,-0.463855,-0.465365,0.634104,3.05054,2.098279,2.44676,3.499911,0.618923,11.095683,11.805909,1,false,1.142333,0.735038,0.395423,0.571429,0.680672,0.397892,,0.25,0.75,0.006149,0.227093,0.796846,10.0,true,57879.0,59424.0,16.0,probe_L06R1,58,已复用 approach-1786678421767-0003 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-033520-368932_approach-1786678421767-0003_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-033301_g0058.zip
L06R1O1-20260814-033637-762126,2026-08-14T03:39:19.580,active,,,6,1,1,true,M1,geometric_centre,0.0,true,2,clean_hit,,executed,false,false,true,approach-1786678696927-0004,-1.0,reconstructed_citrus_1,-0.364502,0.259604,0.754962,0.06103,0.823906,-0.529448,-0.202148,-0.823906,0.529448,0.202148,-0.025852,0.041985,0.671873,-0.029283,-0.630927,-0.388439,0.670961,6.320023,8.090721,7.689546,5.964988,1.180729,28.065505,29.028722,1,false,2.916874,1.563367,1.084686,0.857143,0.731092,0.454315,0.517088,0.272727,0.727273,0.014149,0.522021,0.59332,10.0,true,62295.0,63935.0,795.0,probe_L06R1,59,已复用 approach-1786678696927-0004 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260814-033917-471458_approach-1786678696927-0004_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260814-033741_g0059.zip
