pose,approach,elfin_joint1,elfin_joint2,elfin_joint3,elfin_joint4,elfin_joint5,elfin_joint6,effort_elfin_joint1,effort_elfin_joint2,effort_elfin_joint3,effort_elfin_joint4,effort_elfin_joint5,effort_elfin_joint6,stddev_elfin_joint1,stddev_elfin_joint2,stddev_elfin_joint3,stddev_elfin_joint4,stddev_elfin_joint5,stddev_elfin_joint6
拟合 A,first,0.0025200926484890756,0.279776061348312,-0.35755706267130183,0.0008178343580214868,-0.0016721078790967864,-0.0006031268831081922,6.653424539788283,-15.268130890646884,8.408840277699754,2.9643469986287156,0.057217348302509255,1.160310922344531,0.42597445059348116,0.5304684148844956,0.15966034927394102,0.16507068930192328,0.10842384739173193,0.09171766038060856
拟合 A,second,0.0028709456645549065,0.28290317278661103,-0.36175366532506603,0.00042196337236068355,0.0019113296200046006,0.001585607879532381,6.13672136215098,-31.762809594105242,14.017298248827956,-1.8968935781979368,2.8885277354374486,-0.8905042550727542,0.45263508572511163,0.4456616823079708,0.1465529165620226,0.10309956375811148,0.06467973265142188,0.08279092202687637
拟合 B,first,-0.0018964383306420047,0.40227096518961697,-0.5019111927399772,-0.0024303414829602464,0.34804428158066014,0.00028921138400312985,-5.591146523335476,-23.035603322104045,10.878408190912578,2.950402787280746,0.4548937249022694,1.2657362574765023,0.3059897933214342,0.6005848181088674,0.19847708073229745,0.3124405665243443,0.07904149817482992,0.046549910605705694
拟合 B,second,0.0011514467020205018,0.39710017557230903,-0.49902817979153224,0.00042866741896615537,0.3506778683986735,-0.0010457838081767393,6.379641545857148,-40.23614436264304,17.08935225924788,-1.786782392036384,2.759709672270197,-1.1601528633713198,0.5543267398374392,0.5494047135117442,0.14947624258741576,0.09899127755851166,0.09681676589071518,0.06285900242795016
拟合 C,first,0.002570865419152462,0.40112157123107,-0.49932316970774193,9.137674851104056e-05,-0.35077340996197864,0.0017404060954881052,6.292030987799183,-24.602637621913523,12.179547360140367,2.9306885574439603,0.9061520934206779,1.337811149260879,0.5375364913086833,0.5188615027584744,0.17223019246399457,0.1654344510620277,0.08724382849586552,0.05403305586001601
拟合 C,second,0.0025738436770249814,0.4014747736298404,-0.5005044701819036,0.0020503110321990975,-0.3527113659192977,-0.002546991893895455,-2.8712369254450705,-40.86236073785281,16.496963694396207,-1.680998719741441,3.586200043192354,-1.1854422990851359,0.4107562405466997,0.500709654745406,0.24053232911621336,0.14217109075021928,0.05316963840416659,0.09560150969717664
拟合 D,first,-0.002633100329675824,0.5189915846978599,-0.6192987402969885,0.35288251488962913,0.2978777940417921,-0.24893258207976462,-5.965482544128595,-29.22907243208802,13.056109335566182,3.9240934072682796,0.3407751462436738,1.3986638539472493,0.4317810266006189,0.4125560401355459,0.21265245079582193,0.18659800781756072,0.10056128753196776,0.059636427686427726
拟合 D,second,0.00031454437427336365,0.5220505165754596,-0.6186181787091943,0.34703637266941234,0.29818747353268815,-0.24820772632209803,-4.416368585740061,-48.625850871216414,19.316098561056407,-2.0983633904323957,2.8129755462424226,-0.7879239814585874,0.34254708769033293,0.5580157458653748,0.20990851796968124,0.16969043527163863,0.055051511525668013,0.06748488852185196
拟合 E,first,0.002090938741185179,0.5219488286473026,-0.622404315727165,-0.3505490083170183,-0.2981070131078535,0.25001398632671934,6.307960180173361,-29.99367366604842,14.865490966683756,2.9590578150139684,1.062630476899916,1.484015699481379,0.5455021643018737,0.49442179440623135,0.16403729473976245,0.3081712684072268,0.042796054124821827,0.06042712582480248
拟合 E,second,0.00020122818828707153,0.5189610783194128,-0.6218277558535253,-0.347844441663971,-0.3006136502008547,0.2503391978477156,6.01327012125112,-49.04797446913206,20.78552993620797,-1.5357865877729304,2.942900022222153,-0.9685853878391611,0.4792013653701325,0.312623082563942,0.18608744484928533,0.14543486473385228,0.06657998560950179,0.05941335676367819
拟合 F,first,-0.002152793953493717,0.32007437026746377,-0.43971604373904916,0.49830544797075504,0.4220680385467134,-0.45232678256443315,-5.662827889019265,-18.383283574321517,9.08393244089111,2.7585496725276455,-0.6135849340064663,1.0795427870335303,0.35071364745175554,0.41209450068859466,0.22924076824018721,0.17148421496705626,0.09031185998686066,0.07344216610930067
拟合 F,second,-0.00199758044261553,0.3223771806125201,-0.44130728776395783,0.49732376196746786,0.4216714674924691,-0.4507694147396285,-5.571235032867759,-34.650971286447884,14.965504620489885,-2.1584677496908853,1.8244747277786295,-1.2135767963167563,0.2362345415777712,0.6378012809208949,0.1638116276983454,0.16863462414514083,0.07404029619862208,0.10108807412928973
